b0,b1,b2,b3,date
,176,34,23,2018-02-07T15:20:02.000Z
,176,34,20,2018-02-07T15:20:02.000Z
,176,34,20,2018-02-07T15:20:02.000Z
,54,248,105,2018-02-07T15:20:03.000Z
,54,248,106,2018-02-07T15:20:03.000Z
,54,248,79,2018-02-07T15:30:03.000Z
,176,34,30,2018-02-07T15:30:04.000Z
,54,248,76,2018-02-07T15:30:04.000Z
,54,248,76,2018-02-07T15:30:04.000Z
,54,248,76,2018-02-07T15:30:04.000Z
,54,248,88,2018-02-07T15:40:03.000Z
,54,248,92,2018-02-07T15:40:03.000Z
,54,249,229,2018-02-07T15:40:04.000Z
,54,248,78,2018-02-07T15:40:04.000Z
,54,249,230,2018-02-07T15:40:04.000Z
,46,51,243,2018-02-07T15:50:02.000Z
,54,199,127,2018-02-07T15:50:03.000Z
,54,249,230,2018-02-07T15:50:03.000Z
,54,248,226,2018-02-07T15:50:03.000Z
,54,249,229,2018-02-07T15:50:03.000Z
,54,249,230,2018-02-07T16:00:04.000Z
,54,248,235,2018-02-07T16:00:04.000Z
,54,249,230,2018-02-07T16:00:04.000Z
,54,249,230,2018-02-07T16:00:04.000Z
,176,34,23,2018-02-07T16:00:05.000Z
,54,248,242,2018-02-07T16:10:03.000Z
,175,41,246,2018-02-07T16:10:03.000Z
,176,32,86,2018-02-07T16:10:04.000Z
,46,51,254,2018-02-07T16:10:04.000Z
,54,248,121,2018-02-07T16:10:04.000Z
,54,238,126,2018-02-07T16:20:02.000Z
,54,248,250,2018-02-07T16:20:02.000Z
,54,248,96,2018-02-07T16:20:03.000Z
,54,238,52,2018-02-07T16:20:03.000Z
,46,51,250,2018-02-07T16:20:03.000Z
,175,41,251,2018-02-07T16:30:02.000Z
,175,41,243,2018-02-07T16:30:03.000Z
,54,248,96,2018-02-07T16:30:03.000Z
,175,41,243,2018-02-07T16:30:03.000Z
,54,248,90,2018-02-07T16:30:04.000Z
,175,41,251,2018-02-07T16:40:02.000Z
,175,41,252,2018-02-07T16:40:03.000Z
,175,41,253,2018-02-07T16:40:03.000Z
,175,41,253,2018-02-07T16:40:03.000Z
,175,41,252,2018-02-07T16:40:03.000Z
,54,248,98,2018-02-07T16:50:03.000Z
,54,249,245,2018-02-07T16:50:03.000Z
,54,248,243,2018-02-07T16:50:03.000Z
,54,248,243,2018-02-07T16:50:04.000Z
,54,249,245,2018-02-07T16:50:04.000Z
,176,34,57,2018-02-07T17:00:04.000Z
,54,248,250,2018-02-07T17:00:04.000Z
,176,34,53,2018-02-07T17:00:04.000Z
,54,248,243,2018-02-07T17:00:05.000Z
,54,249,235,2018-02-07T17:00:05.000Z
,54,248,243,2018-02-07T17:10:02.000Z
,46,51,251,2018-02-07T17:10:03.000Z
,54,248,243,2018-02-07T17:10:03.000Z
,54,248,243,2018-02-07T17:10:03.000Z
,54,250,123,2018-02-07T17:10:03.000Z
,54,248,243,2018-02-07T17:20:02.000Z
,54,248,243,2018-02-07T17:20:02.000Z
,54,248,246,2018-02-07T17:20:02.000Z
,54,248,246,2018-02-07T17:20:03.000Z
,54,248,216,2018-02-07T17:20:03.000Z
,176,34,30,2018-02-07T17:30:03.000Z
,54,248,249,2018-02-07T17:30:03.000Z
,54,248,249,2018-02-07T17:30:03.000Z
,176,34,30,2018-02-07T17:30:04.000Z
,176,34,31,2018-02-07T17:30:04.000Z
,176,34,31,2018-02-07T17:40:03.000Z
,176,34,31,2018-02-07T17:40:03.000Z
,176,34,31,2018-02-07T17:40:03.000Z
,54,250,127,2018-02-07T17:40:03.000Z
,176,34,31,2018-02-07T17:40:04.000Z
,176,34,23,2018-02-07T17:50:03.000Z
,175,41,251,2018-02-07T17:50:03.000Z
,54,199,127,2018-02-07T17:50:03.000Z
,176,32,93,2018-02-07T17:50:03.000Z
,54,248,226,2018-02-07T17:50:04.000Z
,54,248,227,2018-02-07T18:00:03.000Z
,54,248,227,2018-02-07T18:00:04.000Z
,54,248,227,2018-02-07T18:00:05.000Z
,54,238,53,2018-02-07T18:00:06.000Z
,54,238,53,2018-02-07T18:00:08.000Z
,54,238,53,2018-02-07T18:10:02.000Z
,54,238,53,2018-02-07T18:10:03.000Z
,54,238,53,2018-02-07T18:10:03.000Z
,54,249,231,2018-02-07T18:10:03.000Z
,54,249,231,2018-02-07T18:10:03.000Z
,54,249,231,2018-02-07T18:20:03.000Z
,54,238,56,2018-02-07T18:20:03.000Z
,54,238,127,2018-02-07T18:20:03.000Z
,176,32,85,2018-02-07T18:20:03.000Z
,54,238,63,2018-02-07T18:20:04.000Z
,54,248,243,2018-02-07T18:30:02.000Z
,54,248,231,2018-02-07T18:30:02.000Z
,54,248,221,2018-02-07T18:30:03.000Z
,54,238,48,2018-02-07T18:30:03.000Z
,54,248,239,2018-02-07T18:30:03.000Z
,54,249,236,2018-02-07T18:40:03.000Z
,54,249,225,2018-02-07T18:40:03.000Z
,46,51,240,2018-02-07T18:40:03.000Z
,54,248,99,2018-02-07T18:40:04.000Z
,176,32,89,2018-02-07T18:40:04.000Z
,54,249,231,2018-02-07T18:50:03.000Z
,54,248,104,2018-02-07T18:50:03.000Z
,54,248,228,2018-02-07T18:50:03.000Z
,54,248,235,2018-02-07T18:50:04.000Z
,54,250,127,2018-02-07T18:50:04.000Z
,175,41,249,2018-02-07T19:00:03.000Z
,54,250,127,2018-02-07T19:00:03.000Z
,54,249,255,2018-02-07T19:00:04.000Z
,176,34,45,2018-02-07T19:00:04.000Z
,54,248,109,2018-02-07T19:00:04.000Z
,54,248,109,2018-02-07T19:10:02.000Z
,175,41,244,2018-02-07T19:10:02.000Z
,54,238,59,2018-02-07T19:10:03.000Z
,54,248,103,2018-02-07T19:10:03.000Z
,54,238,56,2018-02-07T19:10:03.000Z
,54,238,63,2018-02-07T19:20:02.000Z
,54,238,56,2018-02-07T19:20:02.000Z
,54,248,233,2018-02-07T19:20:03.000Z
,54,238,63,2018-02-07T19:20:03.000Z
,54,249,235,2018-02-07T19:20:03.000Z
,175,41,244,2018-02-07T19:30:02.000Z
,54,248,103,2018-02-07T19:30:02.000Z
,176,34,55,2018-02-07T19:30:03.000Z
,175,41,243,2018-02-07T19:30:03.000Z
,54,248,242,2018-02-07T19:30:03.000Z
,175,41,242,2018-02-07T19:40:02.000Z
,176,32,88,2018-02-07T19:40:02.000Z
,54,248,123,2018-02-07T19:40:02.000Z
,54,248,97,2018-02-07T19:40:03.000Z
,46,51,241,2018-02-07T19:40:03.000Z
,54,248,97,2018-02-07T19:50:03.000Z
,54,238,51,2018-02-07T19:50:04.000Z
,54,248,250,2018-02-07T19:50:04.000Z
,54,248,97,2018-02-07T19:50:04.000Z
,46,51,240,2018-02-07T19:50:04.000Z
,54,248,218,2018-02-07T20:00:03.000Z
,175,41,243,2018-02-07T20:00:03.000Z
,54,248,124,2018-02-07T20:00:04.000Z
,54,248,111,2018-02-07T20:00:04.000Z
,54,238,54,2018-02-07T20:00:05.000Z
,176,34,55,2018-02-07T20:10:02.000Z
,54,248,93,2018-02-07T20:10:02.000Z
,175,41,242,2018-02-07T20:10:02.000Z
,54,249,237,2018-02-07T20:10:03.000Z
,54,248,89,2018-02-07T20:10:03.000Z
,54,199,126,2018-02-07T20:20:03.000Z
,176,32,85,2018-02-07T20:20:03.000Z
,54,238,54,2018-02-07T20:20:04.000Z
,54,238,57,2018-02-07T20:20:04.000Z
,54,248,110,2018-02-07T20:20:04.000Z
,176,34,53,2018-02-07T20:30:03.000Z
,176,34,23,2018-02-07T20:30:03.000Z
,54,249,245,2018-02-07T20:30:03.000Z
,176,34,53,2018-02-07T20:30:03.000Z
,54,248,231,2018-02-07T20:30:04.000Z
,46,51,240,2018-02-07T20:40:03.000Z
,46,51,240,2018-02-07T20:40:03.000Z
,54,238,50,2018-02-07T20:40:03.000Z
,54,238,126,2018-02-07T20:40:03.000Z
,54,248,217,2018-02-07T20:40:04.000Z
,54,248,217,2018-02-07T20:50:03.000Z
,54,238,60,2018-02-07T20:50:03.000Z
,54,238,57,2018-02-07T20:50:03.000Z
,46,51,246,2018-02-07T20:50:03.000Z
,54,249,235,2018-02-07T20:50:03.000Z
,176,34,47,2018-02-07T21:00:03.000Z
,54,249,253,2018-02-07T21:00:03.000Z
,176,32,87,2018-02-07T21:00:03.000Z
,175,41,239,2018-02-07T21:00:03.000Z
,54,249,230,2018-02-07T21:00:04.000Z
,54,238,54,2018-02-07T21:10:02.000Z
,54,250,127,2018-02-07T21:10:03.000Z
,54,248,248,2018-02-07T21:10:03.000Z
,54,248,97,2018-02-07T21:10:03.000Z
,54,248,248,2018-02-07T21:10:03.000Z
,175,41,251,2018-02-07T21:20:03.000Z
,175,41,238,2018-02-07T21:20:03.000Z
,54,248,105,2018-02-07T21:20:03.000Z
,54,238,58,2018-02-07T21:20:04.000Z
,54,248,226,2018-02-07T21:20:04.000Z
,175,41,250,2018-02-07T21:30:03.000Z
,54,248,126,2018-02-07T21:30:03.000Z
,54,248,115,2018-02-07T21:30:03.000Z
,54,199,127,2018-02-07T21:30:03.000Z
,54,248,119,2018-02-07T21:30:04.000Z
,46,51,250,2018-02-07T21:40:03.000Z
,46,51,248,2018-02-07T21:40:03.000Z
,176,34,48,2018-02-07T21:40:03.000Z
,176,34,57,2018-02-07T21:40:03.000Z
,46,51,240,2018-02-07T21:40:03.000Z
